tradingsymbol,exchange,name,instrument_token,segment,tick_size,lot_size,instrument_type,sector,industry,is_fo_enabled,is_active
OLECTRA,NSE,OLECTRA GREENTECH,2723073,NSE,0.1,1,STOCK,Automobile and Auto Components,Automobile and Auto Components,0,1
PNB,NSE,PUNJAB NATIONAL BANK,2730497,NSE,0.01,1,STOCK,Financial Services,Financial Services,1,1
INDIAMART,NSE,INDIAMART INTERMESH,2745857,NSE,0.1,1,STOCK,Consumer Services,Consumer Services,0,1
OFSS,NSE,ORACLE FIN SERV SOFT,2748929,NSE,0.5,1,STOCK,Information Technology,Information Technology,1,1
UNIONBANK,NSE,UNION BANK OF INDIA,2752769,NSE,0.01,1,STOCK,Financial Services,Financial Services,1,1
SYRMA,NSE,SYRMA SGS TECHNOLOGY,2763009,NSE,0.05,1,STOCK,Capital Goods,Capital Goods,0,1
CANBK,NSE,CANARA BANK,2763265,NSE,0.01,1,STOCK,Financial Services,Financial Services,1,1
GODREJIND,NSE,GODREJ INDUSTRIES,2796801,NSE,0.05,1,STOCK,Diversified,Diversified,0,1
DIVISLAB,NSE,DIVI S LABORATORIES,2800641,NSE,0.5,1,STOCK,Healthcare,Healthcare,1,1
RADICO,NSE,RADICO KHAITAN,2813441,NSE,0.1,1,STOCK,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0,1
MARUTI,NSE,MARUTI SUZUKI INDIA,2815745,NSE,1.0,1,STOCK,Automobile and Auto Components,Automobile and Auto Components,1,1
IDFCFIRSTB,NSE,IDFC FIRST BANK,2863105,NSE,0.01,1,STOCK,Financial Services,Financial Services,1,1
INDIGO,NSE,INTERGLOBE AVIATION,2865921,NSE,0.1,1,STOCK,Services,Services,1,1
UCOBANK,NSE,UCO BANK,2873089,NSE,0.01,1,STOCK,Financial Services,Financial Services,0,1
JSL,NSE,JINDAL STAINLESS,2876417,NSE,0.05,1,STOCK,Metals & Mining,Metals & Mining,0,1
WELSPUNLIV,NSE,WELSPUN LIVING,2880769,NSE,0.01,1,STOCK,Textiles,Textiles,0,1
IGL,NSE,INDRAPRASTHA GAS,2883073,NSE,0.01,1,STOCK,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,0,1
